en_US,en_GB,policy,notes
check,cheque,conditional:check_noun,"Swap only when preceding/following words indicate the noun (cheque)."
checks,cheques,conditional:check_noun,"Same as check."
checked,chequed,conditional:check_noun,"Same as check."
checking,chequing,conditional:check_noun,"Same as check."
practice,practise,skip,"Verb vs noun distinction in UK English."
practices,practises,skip,"Verb vs noun distinction."
practiced,practised,skip,"Verb vs noun distinction."
practicing,practising,skip,"Verb vs noun distinction."
license,licence,skip,"Verb remains 'license' in UK usage."
licenses,licences,skip,"Verb vs noun distinction."
licensed,licenced,skip,"Verb vs noun distinction."
licensing,licencing,skip,"Verb vs noun distinction."
meter,metre,skip,"'meter' (device) vs 'metre' (unit)."
meters,metres,skip,"Device vs unit."
disk,disc,skip,"Computing contexts prefer 'disk'."
disks,discs,skip,"Computing contexts."
draft,draught,skip,"Verb vs noun; leave drafting verbs untouched."
drafts,draughts,skip,"Verb vs noun."
drafting,draughting,skip,"Verb vs noun."
drafty,draughty,skip,"Breeze vs beer usage."
plow,plough,skip,"Verb usage ambiguous; leave as US spelling."
plows,ploughs,skip,"Verb usage ambiguous."
plowed,ploughed,skip,"Verb usage ambiguous."
plowing,ploughing,skip,"Verb usage ambiguous."
snowplow,snowplough,skip,"Verb usage; avoid altering phrases like 'plow through'."
snowplows,snowploughs,skip,"Verb usage; same reason."
siphon,syphon,skip,"Both spellings acceptable; avoid unnecessary changes."
siphons,syphons,skip,"Scientific contexts."
tire,tyre,skip,"Verb vs noun (wheel)."
tires,tyres,skip,"Verb vs noun."
tired,tyred,skip,"Verb vs noun."
tiring,tyring,skip,"Verb vs noun."
ton,tonne,skip,"Different measurement systems."
tons,tonnes,skip,"Different measurement systems."
ass,arse,skip,"Donkey vs insult."
asses,arses,skip,"Donkey vs insult."
bark,barque,skip,"Verb/tree vs sailing ship."
barks,barques,skip,"Verb/tree vs sailing ship."
curb,kerb,skip,"Verb vs noun."
curbs,kerbs,skip,"Verb vs noun."
curbed,kerbed,skip,"Verb vs noun."
curbing,kerbing,skip,"Verb vs noun."
drought,drouth,skip,"'drouth' is archaic; keep modern spelling."
droughts,drouthes,skip,"Archaic form."
gibe,jibe,skip,"Different verbs with distinct meanings."
gibes,jibes,skip,"Different verbs."
gibed,jibed,skip,"Different verbs."
gibing,jibing,skip,"Different verbs."
sake,saki,skip,"Idioms vs Japanese drink."
sakes,sakis,skip,"Idioms vs drink."
orang,ourang,skip,"Short form for 'orangutan'."
specialty,speciality,skip,"Industry-specific style."
specialties,specialities,skip,"Industry-specific style."
whiskey,whisky,skip,"Brand-specific spelling."
whiskeys,whiskies,skip,"Brand-specific spelling."
phonies,phoneys,skip,"Style preference; leave as authored."
story,storey,skip,"Narrative vs building level."
stories,storeys,skip,"Narrative vs building level."
flier,flyer,skip,"Symmetric mapping; leave as authored."
flyer,flier,skip,"Symmetric mapping; leave as authored."
filter,philtre,skip,"'Philtre' is archaic."
filters,philtres,skip,"'Philtre' is archaic."
